Caroline Langsford, Sally Irvine
Patricia Walkden, Pamela Austin
Rosie Casals, Gail Sherriff
Evonne Goolagong, Nell Truman
Joyce Williams, Shirley Bloomer
Kerry Reid, Janice Townsend
Judy Tegart, Alex Cowie
Ann Jones, Wendy Tomlinson
Kerry Harris, Marie Pinterova
Virginia Wade, Cecilia Martinez
Betty Stove, Helen Amos
Billie Jean King, Pam Teeguarden
Margaret Court, Helen Gourlay
Karen Krantzcke, Winnie Shaw
Julie Heldman, Patricia Walkden
Evonne Goolagong, Rosie Casals
Joyce Williams, Kerry Reid
Judy Tegart, Ann Jones
Virginia Wade, Kerry Harris
Billie Jean King, Betty Stove
Margaret Court, Karen Krantzcke
Evonne Goolagong, Julie Heldman
Judy Tegart, Joyce Williams
Virginia Wade, Billie Jean King
Margaret Court, Evonne Goolagong
Virginia Wade, Judy Tegart
Margaret Court, Virginia Wade
Gail Sherriff, Stephanie Bardsley
Brenda Kirk,  Boehme
Helga Masthoff, Elisabeth Ciepka
Laura Rossouw, Hilke Schoenwalder
Virginia Wade, Helen Amos
Cecilia Martinez,  Ruediger
Kathleen Harter, Helen Crooke
Karen Krantzcke, Christiane Spinoza
Almut Sturm, Barbara Kral
Lesley Hunt, Heide Orth
Rosie Casals, Michelle Rodriguez
Billie Jean King, Marion Hofer
Gail Sherriff, Birgit Frese
Helga Masthoff, Brenda Kirk
Judy Tegart, Laura Rossouw
Virginia Wade, Cecilia Martinez
Helga Schultze, Kathleen Harter
Karen Krantzcke, Almut Sturm
Rosie Casals, Lesley Hunt
Billie Jean King, Gail Sherriff
Helga Masthoff, Judy Tegart
Virginia Wade, Helga Schultze
Karen Krantzcke, Rosie Casals
Helga Masthoff, Billie Jean King
Virginia Wade, Karen Krantzcke
Virginia Wade, Helga Masthoff
Judy Tegart, Jean Forbes
Kathleen Harter, Elizabeth Ernest
Gail Sherriff, Wendy Overton
Betty Stove, Wendy Tomlinson
Kerry Harris, Rita Bentley
Lesley Hunt, Pam Teeguarden
Kristy Pigeon, Janice Townsend
Kerry Reid, Barbara Walsh
Margaret Court, Brenda Kirk
Christina Sandberg, Karen Krantzcke
Judy Tegart, Kathleen Harter
Betty Stove, Gail Sherriff
Lesley Hunt, Kerry Harris
Kerry Reid, Kristy Pigeon
Francoise Durr, Denise Carter
Rosie Casals, Fay Toyne
Margaret Court, Christina Sandberg
Judy Tegart, Betty Stove
Lesley Hunt, Kerry Reid
Francoise Durr, Rosie Casals
Margaret Court, Judy Tegart
Francoise Durr, Lesley Hunt
Margaret Court, Francoise Durr
Ann Jones, Ana Maria Arias
Carol Ann Kalogeropoulos, Esme Emmanuel
Judy Tegart, Suzana Gesteira
Betty Stove, Gail Hansen
Lesley Hunt, Pam Teeguarden
Francoise Durr, Laura Rossouw
Ada Bakker, Joan Wilshere
Virginia Wade, Marina Kroschina
Ann Jones, Carol Ann Kalogeropoulos
Judy Tegart, Betty Stove
Francoise Durr, Lesley Hunt
Virginia Wade, Ada Bakker
Ann Jones, Judy Tegart
Virginia Wade, Francoise Durr
Ann Jones, Virginia Wade
Karen Krantzcke, Eugenia Isopaitis
Marijke Jansen, Robin Lloyd
Peggy Michel, Christiane Spinoza
Mary Ann Eisel, Lany Kaligis
Patricia Walkden, Ingrid Bentzer
Betty Ann Grubb, Jill Cooper
Esme Emmanuel, Nell Truman
Peaches Bartkowicz, Wendy Tomlinson
Julie Heldman, Lindsey Beaven
Carole Graebner, Kerry Harris
Helen Gourlay, Odile De Roubin
Olga Morozova, Lita Liem
Denise Carter, Trudy Groenman
Janice Townsend, Evonne Goolagong
Kazuko Sawamatsu, Valerie Ziegenfuss
Kerry Reid, Wendy Overton
Margaret Court, Cecilia Martinez
Kristy Pigeon, Patricia Edwards
Christina Sandberg, Shirley Bloomer
Patti Hogan, Brenda Kirk
Karen Krantzcke, Marijke Jansen
Peggy Michel, Mary Ann Eisel
Patricia Walkden, Betty Ann Grubb
Peaches Bartkowicz, Esme Emmanuel
Carole Graebner, Julie Heldman
Helen Gourlay, Olga Morozova
Janice Townsend, Denise Carter
Kerry Reid, Kazuko Sawamatsu
Winnie Shaw, Evelyne Terras
Kathleen Harter, Rita Bentley
Gail Sherriff, Corinne Molesworth
Annette Van Zyl, Joan Wilshere
Margaret Court, Kristy Pigeon
Patti Hogan, Christina Sandberg
Karen Krantzcke, Peggy Michel
Patricia Walkden, Peaches Bartkowicz
Helen Gourlay, Carole Graebner
Kerry Reid, Janice Townsend
Winnie Shaw, Kathleen Harter
Gail Sherriff, Annette Van Zyl
Margaret Court, Patti Hogan
Patricia Walkden, Karen Krantzcke
Kerry Reid, Helen Gourlay
Winnie Shaw, Gail Sherriff
Margaret Court, Patricia Walkden
Winnie Shaw, Kerry Reid
Margaret Court, Winnie Shaw
Wendy Overton, Frances Keegan
Patricia Walkden, Isobel Ryan
Nuala Mcmordie, Helen Jackson
Margaret Burns, Tish Adams
Kerry Reid, Bernadette Burke
Julie Heldman, Catherine Oreilly
Helen Lennon, Jennifer Cronin
Susan Minford, Maureen Ryan
Valerie Ziegenfuss, E Visser
Peggy Michel, Ann Keegan
Pam Teeguarden, Patricia Ogorman
Virginia Wade, A Coghlan
Wendy Overton, Jill Minford
Patricia Walkden, Nuala Mcmordie
Kerry Reid, Margaret Burns
Julie Heldman, Helen Lennon
Valerie Ziegenfuss, Susan Minford
Pam Teeguarden, Peggy Michel
Karen Krantzcke, Paula Mullen
Virginia Wade, Wendy Overton
Kerry Reid, Patricia Walkden
Valerie Ziegenfuss, Julie Heldman
Karen Krantzcke, Pam Teeguarden
Virginia Wade, Kerry Reid
Valerie Ziegenfuss, Karen Krantzcke
Virginia Wade, Valerie Ziegenfuss
Carolyn Camp, Jenny Helliar
Penny Moor, Nell Truman
Elizabeth Ernest, C A Lewis
Patricia Edwards, M Richens
Sally Holdsworth, Ann Beames
S Hamilton, Marianna Brummer
Fay Toyne, R Mortoire
Lesley Hunt, G A Opray
Laura Rossouw, Denise Staniszewski
Ann Jones, Carolyn Camp
Penny Moor, Brenda Kirk
Patti Hogan, Elizabeth Ernest
Patricia Edwards, Annette Van Zyl
Evonne Goolagong, Sally Holdsworth
Judy Tegart, S Hamilton
Lesley Hunt, Fay Toyne
Laura Rossouw, Rosie Casals
Ann Jones, Penny Moor
Patti Hogan, Patricia Edwards
Evonne Goolagong, Judy Tegart
Laura Rossouw, Lesley Hunt
Patti Hogan, Ann Jones
Evonne Goolagong, Laura Rossouw
Evonne Goolagong, Patti Hogan
Esme Laing, Frances Maclennan
Elizabeth Ernest, Susan Waterworth
Patti Hogan, M Kyrke Smith
Kerry Reid, Linda Woods
Patricia Edwards, Barbara Newnes
Brenda Kirk, S Thompson
Joyce Williams, Elizabeth Clark
Rita Bentley, M Audus
Julie Heldman, Gillian Wotherspoon
Evonne Goolagong, Susan Prysor Jones
Fay Toyne, S Horrock
Lesley Wellerman, Carolyn Camp
Virginia Wade, Esme Laing
Patti Hogan, Elizabeth Ernest
Kerry Reid, Patricia Edwards
Brenda Kirk, Joyce Williams
Judy Tegart, Rita Bentley
Julie Heldman, E Turner
Evonne Goolagong, Fay Toyne
Karen Krantzcke, Lesley Wellerman
Patti Hogan, Virginia Wade
Kerry Reid, Brenda Kirk
Judy Tegart, Julie Heldman
Evonne Goolagong, Karen Krantzcke
Kerry Reid, Patti Hogan
Evonne Goolagong, Judy Tegart
Evonne Goolagong, Kerry Reid
Nancy Richey, Lucia Gongora
Gail Hansen, Trish Mcclenaughan
Linda Tuero, Pamela Austin
Becky Vest, Pam Richmond
Mary Struthers, Denise Carter
Esme Emmanuel, Lita Liem
Helen Gourlay, Lany Kaligis
Tory Ann Fretz, Beatriz Araujo
Connie Capozzi, Pam Farmer
Sue Stap, Laura Dupont
Margaret Cooper, Patricia Cody
Gail Sherriff, Cecilia Rosado
Cecilia Martinez, Joan Wilshere
Patricia Walkden, Ann Lebedeff
Marjorie Gengler, Maricaye Christenson
Rosie Casals, Nancy Ornstein
Nancy Richey, Gail Hansen
Linda Tuero, Becky Vest
Esme Emmanuel, Mary Struthers
Helen Gourlay, Tory Ann Fretz
Connie Capozzi, Sue Stap
Gail Sherriff, Margaret Cooper
Patricia Walkden, Cecilia Martinez
Rosie Casals, Marjorie Gengler
Nancy Richey, Linda Tuero
Helen Gourlay, Esme Emmanuel
Gail Sherriff, Connie Capozzi
Rosie Casals, Patricia Walkden
Nancy Richey, Helen Gourlay
Rosie Casals, Gail Sherriff
Rosie Casals, Nancy Richey
Rosie Casals, Pam Farmer
Mary Struthers, Lucia Gongora
Maricaye Christenson, Patricia Montano
Esme Emmanuel, Pamela Austin
Mary Ann Eisel, Farel Footman
Pam Richmond, Carol Aucamp
Laura Dupont, Marjorie Gengler
Gail Sherriff, Margaret Cooper
Patricia Walkden, Joan Wilshere
Becky Vest, Sherry Bedingfield
Connie Capozzi, Vicky Smouse
