Jean Louis Haillet, Huub Van Boeckel
Buster C Mottram, Peter Campbell
Klaus Eberhard, Ismail El Shafei
Eric Deblicker, Gilles Moretton
Tomas Smid, Per Hjertquist
Peter Mcnamara, Christophe Roger Vasselin
Noel Phillips, Theo Gorter
Jan Kodes, Bob Carmichael
Angel Gimenez, Tom Okker
Dominique Bedel, Bernard Fritz
Louk Sanders, John Feaver
Alejandro Pierola, Nicola Spear
Balazs Taroczy, Tenny Svensson
Ulrich Pinner, David Carter
Jean Louis Haillet, Kjell Johansson
Buster C Mottram, Klaus Eberhard
Tomas Smid, Eric Deblicker
Peter Mcnamara, Noel Phillips
Jan Kodes, Angel Gimenez
Louk Sanders, Dominique Bedel
Balazs Taroczy, Alejandro Pierola
Ulrich Pinner, Jean Louis Haillet
Tomas Smid, Buster C Mottram
Jan Kodes, Peter Mcnamara
Balazs Taroczy, Louk Sanders
Tomas Smid, Ulrich Pinner
Balazs Taroczy, Jan Kodes
Balazs Taroczy, Tomas Smid
Vitas Gerulaitis, Stanislav Birner
Ferdi Taygan, Jorge Andrew
Miguel Mir, Vladimir Zednik
Zeljko Franulovic, Jonathan Smith
Wojtek Fibak, Martin Lorenzoni
Andreas Maurer, Werner Zirngibl
Ricardo Cano, Jairo Velasco
Heinz Gunthardt, Bernhard Pils
Gianni Ocleppo, Onny Parun
Pavel Slozil, John Yuill
Antonio Zugarelli, Pavel Hutka
Chris Lewis, Ricardo Ycaza
Antonio Munoz, Peter Feigl
Hans Kary, Robert Reininger
Christophe Freyss, Christophe Casa
Arthur Ashe, Fernando Dalla Fontana
Vitas Gerulaitis, Ferdi Taygan
Zeljko Franulovic, Miguel Mir
Wojtek Fibak, Andreas Maurer
Heinz Gunthardt, Ricardo Cano
Pavel Slozil, Gianni Ocleppo
Chris Lewis, Antonio Zugarelli
Antonio Munoz, Hans Kary
Christophe Freyss, Arthur Ashe
Vitas Gerulaitis, Zeljko Franulovic
Heinz Gunthardt, Wojtek Fibak
Pavel Slozil, Chris Lewis
Christophe Freyss, Antonio Munoz
Vitas Gerulaitis, Heinz Gunthardt
Pavel Slozil, Christophe Freyss
Vitas Gerulaitis, Pavel Slozil
Adriano Panatta, Dale Collings
Gene Stuart Malin, Willem Prinsloo
Tom Leonard, Fred Mcnair
Ramesh Krishnan, Jorge Andrew
Ilie Nastase, Cary Stansbury
Larry Stefanki, Steve Denton
Robin Drysdale, Deon Joubert
John Yuill, Tom Gorman
Sandy Mayer, Eric Friedler
Chris Kachel, Jim Delaney
Warrick Jones, Tim Garcia
