Rod Laver, Richard Gonzalez
Allan Stone, Peter Pokorny
Allan Stone, Michal Lewandowski
Cliff Richey, Allan Stone
Michal Lewandowski, Joseph Mateo
Georges Goven, Giuseppe Merlo
Cliff Richey, Georges Goven
Cliff Richey, Jairo Velasco
Roy Emerson, Cliff Richey
Robert Maud, Sergio Palmieri
Robert Maud, Brian Fairlie
Roy Emerson, Robert Maud
Brian Fairlie, Bernard De Troye
Barry Phillips Moore, Patrice Beust
Roy Emerson, Barry Phillips Moore
Roy Emerson, Onny Parun
Raymond Moore, Marty Riessen
Milan Holecek, Raymond Moore
Milan Holecek, Terry Addison
Ion Tiriac, Milan Holecek
Jean Loup Rouyer, Manuel Orantes
Ion Tiriac, Jean Loup Rouyer
Ion Tiriac, Georges Deniau
Ion Tiriac, Zeljko Franulovic
Rod Laver, Ion Tiriac
Abe Segal, Jimmy Moore
Zeljko Franulovic, Abe Segal
Zeljko Franulovic, Juan Gisbert
Zeljko Franulovic, Bob Hewitt
Ashley Cooper, Isao Watanabe
Bob Hewitt, Ashley Cooper
Bob Hewitt, Jacques Thamin
Robert Wilson, Jean Claude Molinari
Bob Carmichael, Robert Wilson
Bob Carmichael, Patrick Hombergen
Bob Carmichael, John Alexander
Rod Laver, Bob Carmichael
Alan Fox, Alfredo Acuna
John Alexander, Alan Fox
John Alexander, Alex Metreveli
Lars Olander, Adrian Pena
Peter Marmureanu, Lars Olander
Peter Marmureanu, William Alvarez
Rod Laver, Peter Marmureanu
Nicholas Kalogeropoulos, Bob Howe
Rod Laver, Nicholas Kalogeropoulos
Rod Laver, Lance Lumsden
Rod Laver, Gene Scott
Stan Smith, Giuseppe Merlo
Marty Riessen, Jan Kodes
Brian Fairlie, Donald Dell
Herb Fitzgibbon, Nikola Pilic
Mark Cox, Gordon Forbes
Alan Fox, Roger Becker
Daniel Contet, Haroon Rahim
Richard Gonzalez, Ramanathan Krishnan
Robert Maud, Derek Schroder
Alex Metreveli, Manuel Orantes
Patrice Beust, Phil Dent
Dennis Ralston, John Brown
Cliff Richey, Barry Phillips Moore
Jan Leschly, Colin Stubs
Jose Edison Mandarino, Tony Palafox
John Newcombe, Owen Davidson
John Alexander, Frew Mcmillan
David Lloyd, Pierre Darmon
Terry Ryan, Keith Wooldridge
Arthur Ashe, Eduardo Zuleta
Ismail El Shafei, Premjit Lall
Ove Bengtson, Warren Jacques
Jose Luis Arillla, Keith Carpenter
Roy Emerson, Ron Holmberg
Ion Tiriac, Richard Russell
Ken Fletcher, Jim Mcmanus
Alejandro Olmedo, Patricio Rodriguez Chi
Tom Okker, Peter Curtis
Michael Sangster, Carlos Fernandes
Vladimir Korotkov, Stanley Matthews
Pierre Barthes, Luis Ayala
Terry Addison, Robert Haillet
Nicholas Kalogeropoulos, Raul Peralta
Bob Howe, Gerald Battrick
Fred Stolle, Jean Claude Barclay
Clark Graebner, Roy Barth
Jorgen Ulrich, Koji Watanabe
Graham Stilwell, Sergei Likhachev
Manuel Santana, Hans Joachim Ploetz
Tom Edlefsen, Jurgen Fassbender
Geoff Bluett, Nicola Pietrangeli
Graydon Garner, Lance Lumsden
Cliff Drysdale, Robert Wilson
Dick Crealy, Jan Kukal
Raymond Moore, Nicola Spear
Bill Bowrey, Wieslaw Gasiorek
Andres Gimeno, Istvan Gulyas
Georges Goven, Pancho Castillo
Torben Ulrich, Thomas Lejus
Bob Carmichael, Milan Holecek
Earl Butch Buchholz, Allan Stone
Bob Hewitt, John Barrett
Thomaz Koch, Gaetano Di Maso
Pancho Guzman, Bob Lutz
Lew Hoad, Jaidip Mukerjea
Clay Iles, Jean Pierre Courcol
Ray Ruffels, Patricio Cornejo
Jim Osborne, Michael Davies
Tony Roche, Ray Keldie
Onny Parun, Paul Hutchins
Roger Taylor, Alan Mills
Charlie Pasarell, Patrick Hombergen
