Arantxa Sanchez Vicario, Cammy Macgregor
Zina Garrison, Gigi Fernandez
Patty Fendick, Liz Smylie
Donna Faber, Tine Scheuer Larsen
Hana Mandlikova, Laura Golarsa
Monica Seles, Anne Smith
Shaun Stafford, Stacey Martin
Patricia Tarabini, Angelika Kanellopoulou
Chris Evert, Elise Burgin
Manuela Maleeva Fragniere, Isabel Cueto
Nathalie Tauziat, Kathy Rinaldi Stunkel
Tami Whitlinger Jones, Beth Herr
Natalia Zvereva, Linda Ferrando
Regina Rajchrtova, Wendy White
Camille Benjamin, Ann Grossman
Sabrina Goles, Elna Reinach
Martina Navratilova, Julie Halard Decugis
Steffi Graf, Terry Phelps
Rosalyn Fairbank, Andrea Temesvari
Larisa Savchenko, Halle Cioffi
Helena Sukova, Anne Minter
Gabriela Sabatini, Leila Meskhi
Conchita Martinez, Sylvia Hanika
Barbara Paulus, Susan Sloane Lundy
Arantxa Sanchez Vicario, Sandra Wasserman
Zina Garrison, Patty Fendick
Donna Faber, Hana Mandlikova
Monica Seles, Shaun Stafford
Chris Evert, Patricia Tarabini
Manuela Maleeva Fragniere, Nathalie Tauziat
Natalia Zvereva, Tami Whitlinger Jones
Regina Rajchrtova, Camille Benjamin
Martina Navratilova, Sabrina Goles
Steffi Graf, Rosalyn Fairbank
Helena Sukova, Larisa Savchenko
Gabriela Sabatini, Conchita Martinez
Arantxa Sanchez Vicario, Barbara Paulus
Zina Garrison, Donna Faber
Chris Evert, Monica Seles
Manuela Maleeva Fragniere, Natalia Zvereva
Martina Navratilova, Regina Rajchrtova
Steffi Graf, Helena Sukova
Gabriela Sabatini, Arantxa Sanchez Vicario
Zina Garrison, Chris Evert
Martina Navratilova, Manuela Maleeva Fragniere
Steffi Graf, Gabriela Sabatini
Martina Navratilova, Zina Garrison
Steffi Graf, Martina Navratilova
Alexia Dechaume Balleret, Akemi Nishiya
Carrie Cunningham, Silke Meier
Dianne Fromholtz, Nicole Jagerman
Ann Grossman, Ann Devries
Nathalie Herreman, Petra Langrova
Catherine Tanvier, Julie Halard Decugis
Liz Smylie, Andrea Temesvari
Eva Pfaff, Beverly Bowes
Rene Simpson, Terry Phelps
Catarina Lindqvist Ryan, Elise Burgin
Kathy Horvath, Monique Javer
Laura Golarsa, Ronni Reis
Jenny Byrne, Katrina Adams
Eva Krapl, Federica Bonsignori
Claudia Porwik, Etsuko Inoue
Dianne Van Rensburg, Louise Field
Carin Bakkum, Marianne Werdel Witmeyer
Jill Hetherington, Masako Yanagi
Manon Bollegraf, Hester Witvoet
Wendy Turnbull, Anna Ivan
Gretchen Magers, Julie Richardson
Brenda Schultz Mccarthy, Emmanuelle Derly
Rachel Mcquillan, Camille Benjamin
Beth Herr, Sally Mccann
Helena Sukova, Alexia Dechaume Balleret
Dianne Fromholtz, Carrie Cunningham
Nathalie Herreman, Ann Grossman
Catherine Tanvier, Hana Mandlikova
Patty Fendick, Liz Smylie
Rene Simpson, Eva Pfaff
Catarina Lindqvist Ryan, Kathy Horvath
Jana Novotna, Laura Golarsa
Jenny Byrne, Rosalyn Fairbank
Claudia Porwik, Eva Krapl
Dianne Van Rensburg, Carin Bakkum
Anne Minter, Jill Hetherington
Nicole Bradtke, Manon Bollegraf
Gretchen Magers, Wendy Turnbull
Brenda Schultz Mccarthy, Rachel Mcquillan
Pascale Paradis Mangon, Beth Herr
Helena Sukova, Dianne Fromholtz
Catherine Tanvier, Nathalie Herreman
Patty Fendick, Rene Simpson
Jana Novotna, Catarina Lindqvist Ryan
Jenny Byrne, Claudia Porwik
Anne Minter, Dianne Van Rensburg
Gretchen Magers, Nicole Bradtke
