Raffaella Reggi Concato, Karen Huebner
Sylvia Hanika, Steffi Graf
Katerina Bohmova, Sue Barker
Carin Anderholm, Shelley Solomon
Petra Huber, Louise Allen
Elise Burgin, Sandra Cecchini
Andrea Temesvari, Rosalyn Fairbank
Bonnie Gadusek, Annabel Croft
Pam Casale, Micki Schillig
Kate Gompert, Joanne Russell
Barbara Gerken, Robin White
Bettina Bunge, Melissa Brown
Iva Budarova, Ginny Purdy
Terry Holladay, Amy Holton
Chris Evert, Sharon Walsh Pete
Martina Navratilova, Andrea Leand
Jennifer Mundel, Nathalie Herreman
Patty Fendick, Marie Christine Calleja
Barbara Potter, Sandy Collins
Lisa Bonder Kreiss, Debbie Spence Nasim
Yvonne Vermaak, Rene Uys
Gabriela Sabatini, Kim Jones
Helena Sukova, Kathy Jordan
Pam Shriver, Jenny Klitch
Mareen Louie Harper, Virginia Wade
Virginia Ruzici, Jamie Golder
Susan Mascarin, Michelle Torres
Wendy Turnbull, Grace Kim
Beverly Mould, Gigi Fernandez
Catarina Lindqvist Ryan, Catherine Tanvier
Claudia Kohde Kilsch, Kathy Rinaldi Stunkel
Petra Delhees Jauch, Petra Keppeler
Melissa Gurney, Rosie Casals
Mima Jausovec, Ann Henricksson
Carling Bassett Seguso, Pascale Paradis Mangon
Anne Minter, Marcela Skuherska
Lori Mcneil, Vicki Nelson
Anne White, Etsuko Inoue
Hana Mandlikova, Tine Scheuer Larsen
Zina Garrison, Raffaella Reggi Concato
Sylvia Hanika, Katerina Bohmova
Petra Huber, Carin Anderholm
Andrea Temesvari, Elise Burgin
Bonnie Gadusek, Pam Casale
Barbara Gerken, Kate Gompert
Bettina Bunge, Iva Budarova
Chris Evert, Terry Holladay
Martina Navratilova, Jennifer Mundel
Barbara Potter, Patty Fendick
Lisa Bonder Kreiss, Yvonne Vermaak
Helena Sukova, Gabriela Sabatini
Pam Shriver, Mareen Louie Harper
Susan Mascarin, Virginia Ruzici
Wendy Turnbull, Beverly Mould
Claudia Kohde Kilsch, Catarina Lindqvist Ryan
Petra Delhees Jauch, Melissa Gurney
Carling Bassett Seguso, Mima Jausovec
Lori Mcneil, Anne Minter
Hana Mandlikova, Anne White
Sylvia Hanika, Zina Garrison
Petra Huber, Andrea Temesvari
Bonnie Gadusek, Barbara Gerken
Chris Evert, Bettina Bunge
Martina Navratilova, Barbara Potter
Helena Sukova, Lisa Bonder Kreiss
Pam Shriver, Susan Mascarin
Wendy Turnbull, Claudia Kohde Kilsch
Carling Bassett Seguso, Petra Delhees Jauch
Hana Mandlikova, Lori Mcneil
Sylvia Hanika, Petra Huber
Chris Evert, Bonnie Gadusek
Martina Navratilova, Helena Sukova
Wendy Turnbull, Pam Shriver
Carling Bassett Seguso, Hana Mandlikova
Chris Evert, Sylvia Hanika
Martina Navratilova, Wendy Turnbull
Chris Evert, Carling Bassett Seguso
Martina Navratilova, Chris Evert
Betsy Nagelsen, Naoko Sato
Dianne Fromholtz, Mary Lou Piatek
Yvonne Vermaak, Molly Van Nostrand
Rosalyn Fairbank, Maeve Quinlan
Christiane Jolissaint, Jenny Byrne
Myriam Schropp, Vicki Nelson
Candy Reynolds, Annabel Croft
Wendy White, Rebecca Bryant
Anne White, Petra Keppeler
Ann Henricksson, Lea Antonoplis
Tine Scheuer Larsen, Masako Yanagi
Sophie Amiach, Kim Jones
Lori Mcneil, Catrin Jexell
Carina Karlsson, Pam Whytcross
Pascale Paradis Mangon, Vicki Marler
Elise Burgin, Adriana Villagran Reami
Beverly Mould, Amanda Brown
Kim Steinmetz, Annette Gulley
Corinne Vanier, Helene Pelletier
Andrea Betzner, Julie Salmon
Eva Pfaff, Catherine Suire
Gigi Fernandez, Sandy Collins
Liz Smylie, Elizabeth Minter
Anne Minter, Barbara Gerken
Pam Shriver, Betsy Nagelsen
Dianne Fromholtz, Yvonne Vermaak
Rosalyn Fairbank, Christiane Jolissaint
Bettina Bunge, Myriam Schropp
Helena Sukova, Candy Reynolds
Anne White, Wendy White
Ann Henricksson, Tine Scheuer Larsen
Catarina Lindqvist Ryan, Sophie Amiach
Kathy Rinaldi Stunkel, Lori Mcneil
Pascale Paradis Mangon, Carina Karlsson
Elise Burgin, Beverly Mould
Barbara Potter, Kim Steinmetz
Corinne Vanier, Steffi Graf
Eva Pfaff, Andrea Betzner
Liz Smylie, Gigi Fernandez
Wendy Turnbull, Anne Minter
Pam Shriver, Dianne Fromholtz
Bettina Bunge, Rosalyn Fairbank
Helena Sukova, Anne White
Catarina Lindqvist Ryan, Ann Henricksson
Pascale Paradis Mangon, Kathy Rinaldi Stunkel
Barbara Potter, Elise Burgin
Eva Pfaff, Corinne Vanier
Liz Smylie, Wendy Turnbull
Bettina Bunge, Pam Shriver
Helena Sukova, Catarina Lindqvist Ryan
Pascale Paradis Mangon, Barbara Potter
Liz Smylie, Eva Pfaff
Helena Sukova, Bettina Bunge
Liz Smylie, Pascale Paradis Mangon
Helena Sukova, Liz Smylie
