Nicolas Almagro, Albert Ramos
Tommy Robredo, Renzo Olivo
Rafael Nadal, Federico Delbonis
Carlos Berlocq, Blaz Rola
Juan Monaco, Pablo Cuevas
Nicolas Almagro, Tommy Robredo
Rafael Nadal, Carlos Berlocq
Juan Monaco, Nicolas Almagro
Rafael Nadal, Juan Monaco
Novak Djokovic, Vasek Pospisil
Andrey Golubev, Fabrice Martin
Marsel Ilhan, Alexander Zverev
Feliciano Lopez, James Ward
Tomas Berdych, Jeremy Chardy
Simone Bolelli, Lucas Pouille
Sergiy Stakhovsky, Lukas Rosol
Denis Istomin, Ernests Gulbis
Marcos Baghdatis, David Goffin
Borna Coric, Malek Jaziri
Joao Sousa, James Mcgee
Andy Murray, Gilles Muller
Roberto Bautista Agut, Dominic Thiem
Richard Gasquet, Andreas Seppi
Fernando Verdasco, Guillermo Garcia Lopez
Roger Federer, Mikhail Youzhny
Novak Djokovic, Andrey Golubev
Marsel Ilhan, Feliciano Lopez
Tomas Berdych, Simone Bolelli
Sergiy Stakhovsky, Denis Istomin
Borna Coric, Marcos Baghdatis
Andy Murray, Joao Sousa
Richard Gasquet, Roberto Bautista Agut
Roger Federer, Fernando Verdasco
Novak Djokovic, Marsel Ilhan
Tomas Berdych, Sergiy Stakhovsky
Borna Coric, Andy Murray
Roger Federer, Richard Gasquet
Novak Djokovic, Tomas Berdych
Roger Federer, Borna Coric
Roger Federer, Novak Djokovic
Victor Estrella, Seanon Williams
Darian King, Jose Hernandez
Victor Estrella, Darian King
Jose Hernandez, Haydn Lewis
Di Wu, Jose Rubin Statham
Michael Venus, Ze Zhang
Jose Rubin Statham, Zhe Li
Michael Venus, Chuhan Wang
Ricardas Berankis, Lukasz Kubot
Jerzy Janowicz, Laurynas Grigelis
Jerzy Janowicz, Ricardas Berankis
Laurynas Grigelis, Kamil Majchrzak
Adrian Ungur, Bar Tzuf Botzer
Marius Copil, Dudi Sela
Adrian Ungur, Edan Leshem
Marius Copil, Bar Tzuf Botzer
Frederik Nielsen, Evgeny Donskoy
Andrey Kuznetsov, Martin Pedersen
Andrey Kuznetsov, Frederik Nielsen
